customer_id,gender,age,tenure,monthly_charges,total_charges,contract_type,internet_service,payment_method,support_tickets,satisfaction_score,churn
CUST00059,Female,65,30,2912.9,87387.0,Two Year,None,Credit Card,3,6,No
CUST00060,Male,44,62,2968.76,184063.12,Yearly,DSL,UPI,3,5,No
CUST00061,Female,45,52,2197.25,114257.0,Yearly,DSL,Net Banking,0,4,Yes
CUST00062,Female,59,70,2068.33,144783.1,Monthly,Fiber,Net Banking,8,1,Yes
CUST00063,Male,40,59,1625.83,95923.97,Yearly,Fiber,Credit Card,9,2,Yes
CUST00064,Female,61,42,2970.51,124761.42,Two Year,None,Net Banking,5,2,Yes
CUST00065,Female,40,3,2730.14,8190.42,Monthly,None,Debit Card,4,5,Yes
CUST00066,Female,47,14,1373.88,19234.32,Monthly,None,Net Banking,8,7,No
CUST00067,Female,38,22,2010.35,44227.7,Two Year,None,UPI,8,9,Yes
CUST00068,Female,22,7,2928.7,20500.9,Two Year,DSL,Debit Card,4,7,Yes
CUST00069,Female,45,71,359.95,25556.45,Yearly,None,Credit Card,3,2,No
CUST00070,Female,32,52,2996.78,155832.56,Monthly,None,UPI,3,10,No
CUST00071,Female,68,66,1961.0,129426.0,Monthly,Fiber,Debit Card,2,4,No
CUST00072,Male,37,57,962.58,54867.06,Yearly,DSL,Debit Card,0,2,No
CUST00073,Male,34,30,1322.85,39685.5,Monthly,Fiber,Credit Card,9,4,Yes
CUST00074,Female,40,41,2074.22,85043.02,Monthly,DSL,Credit Card,10,5,Yes
CUST00075,Female,23,59,619.02,36522.18,Monthly,Fiber,Net Banking,3,9,No
CUST00076,Female,44,68,2959.23,201227.64,Yearly,None,Net Banking,0,4,Yes
CUST00077,Male,27,72,1114.57,80249.04,Yearly,DSL,Credit Card,3,9,No
CUST00078,Male,69,3,1339.01,4017.03,Yearly,Fiber,Net Banking,8,1,Yes
CUST00079,Female,62,53,2829.79,149978.87,Monthly,Fiber,Credit Card,6,3,Yes
CUST00080,Male,67,28,1307.35,36605.8,Monthly,Fiber,Net Banking,8,1,Yes
CUST00081,Female,31,3,2342.95,7028.85,Monthly,None,Credit Card,3,5,Yes
CUST00082,Male,67,13,2172.27,28239.51,Yearly,DSL,Net Banking,0,4,Yes
CUST00083,Female,26,61,974.7,59456.7,Two Year,None,UPI,8,10,No
CUST00084,Male,20,27,1394.79,37659.33,Two Year,Fiber,Net Banking,2,7,No
CUST00085,Male,23,38,1290.01,49020.38,Yearly,None,UPI,9,7,No
CUST00086,Female,60,56,1807.75,101234.0,Yearly,DSL,Debit Card,5,5,No
CUST00087,Male,36,41,1381.18,56628.38,Two Year,Fiber,UPI,2,2,No
CUST00088,Female,20,58,810.47,47007.26,Monthly,Fiber,UPI,7,1,Yes
CUST00089,Male,20,64,1599.1,102342.4,Monthly,Fiber,Debit Card,10,3,Yes
CUST00090,Male,24,22,1180.18,25963.96,Two Year,None,UPI,9,6,No
CUST00091,Male,20,61,1201.76,73307.36,Two Year,Fiber,Debit Card,3,9,No
CUST00092,Female,34,66,670.87,44277.42,Monthly,DSL,Net Banking,0,9,No
CUST00093,Female,18,61,1723.01,105103.61,Two Year,DSL,Debit Card,7,7,No
CUST00094,Female,45,32,1828.21,58502.72,Monthly,DSL,Net Banking,6,1,Yes
CUST00095,Female,57,2,2085.7,4171.4,Two Year,Fiber,UPI,8,6,Yes
CUST00096,Male,54,39,1301.42,50755.38,Yearly,DSL,Debit Card,6,5,No
CUST00097,Male,41,4,2098.11,8392.44,Monthly,None,UPI,8,8,Yes
CUST00098,Female,21,2,2708.87,5417.74,Two Year,Fiber,UPI,4,3,Yes
CUST00099,Female,56,69,1123.67,77533.23,Yearly,Fiber,Debit Card,9,8,No
CUST00100,Male,49,44,320.44,14099.36,Yearly,None,Debit Card,5,10,No
CUST00101,Female,65,29,2711.06,78620.74,Yearly,None,Net Banking,9,6,Yes
CUST00102,Female,38,65,708.46,46049.9,Yearly,DSL,Net Banking,4,9,No
CUST00103,Male,21,24,2042.43,49018.32,Yearly,DSL,Net Banking,6,6,Yes
CUST00104,Female,46,43,1494.82,64277.26,Monthly,None,UPI,1,10,No
CUST00105,Female,50,25,2483.3,62082.5,Yearly,None,Net Banking,1,6,No
CUST00106,Female,20,54,2989.57,161436.78,Yearly,Fiber,Net Banking,7,2,Yes
CUST00107,Female,60,51,2672.56,136300.56,Two Year,Fiber,UPI,2,3,Yes
CUST00108,Male,49,45,804.17,36187.65,Monthly,None,Net Banking,7,5,No
CUST00109,Female,56,6,553.18,3319.08,Monthly,None,Debit Card,0,10,No
CUST00110,Female,43,27,867.98,23435.46,Yearly,None,Net Banking,9,7,No
CUST00111,Male,49,53,685.08,36309.24,Yearly,DSL,Debit Card,6,6,No
CUST00112,Female,61,60,694.61,41676.6,Monthly,Fiber,Debit Card,6,3,Yes
CUST00113,Male,58,51,1388.96,70836.96,Monthly,Fiber,UPI,1,9,No
CUST00114,Female,19,51,2432.92,124078.92,Two Year,None,Net Banking,7,8,Yes
CUST00115,Male,39,14,2222.85,31119.9,Two Year,DSL,Net Banking,10,5,Yes
CUST00116,Male,56,2,957.05,1914.1,Yearly,DSL,Debit Card,7,4,Yes
CUST00117,Male,61,47,1981.32,93122.04,Yearly,DSL,Net Banking,9,1,Yes
CUST00118,Male,25,51,843.15,43000.65,Monthly,DSL,Net Banking,4,5,No
CUST00119,Male,44,30,1357.72,40731.6,Monthly,Fiber,Credit Card,2,3,No
CUST00120,Female,37,53,2511.31,133099.43,Monthly,Fiber,UPI,5,7,No
CUST00121,Male,24,35,2271.64,79507.4,Monthly,Fiber,UPI,7,2,Yes
CUST00122,Male,42,64,1064.52,68129.28,Yearly,DSL,Debit Card,4,8,No
CUST00123,Female,67,32,753.97,24127.04,Monthly,Fiber,UPI,9,2,Yes
CUST00124,Male,55,3,1603.36,4810.08,Yearly,DSL,Credit Card,2,7,No
CUST00125,Male,26,32,2032.49,65039.68,Monthly,None,Net Banking,3,3,Yes
CUST00126,Female,30,43,2505.59,107740.37,Yearly,DSL,Debit Card,4,3,Yes
CUST00127,Male,22,51,1941.2,99001.2,Yearly,None,UPI,4,8,No
CUST00128,Female,42,23,2277.17,52374.91,Yearly,Fiber,UPI,8,6,Yes
CUST00129,Male,39,46,2866.32,131850.72,Monthly,None,Debit Card,2,5,No
CUST00130,Male,41,61,2159.19,131710.59,Yearly,None,Credit Card,9,9,Yes
CUST00131,Female,69,50,1070.91,53545.5,Monthly,DSL,Debit Card,3,2,No
CUST00132,Female,61,43,1019.53,43839.79,Two Year,Fiber,Credit Card,1,4,No
CUST00133,Male,63,17,1757.45,29876.65,Yearly,None,UPI,9,4,Yes
CUST00134,Male,34,16,1689.76,27036.16,Two Year,Fiber,Net Banking,1,10,No
CUST00135,Female,69,6,2911.55,17469.3,Two Year,Fiber,Net Banking,0,2,Yes
CUST00136,Male,32,49,1462.47,71661.03,Two Year,DSL,UPI,7,7,No
CUST00137,Male,45,3,1622.16,4866.48,Yearly,Fiber,Debit Card,10,6,Yes
CUST00138,Female,29,2,1633.59,3267.18,Monthly,DSL,Credit Card,9,6,Yes
CUST00139,Male,44,42,1320.14,55445.88,Monthly,DSL,Credit Card,10,4,Yes
CUST00140,Female,55,42,1441.13,60527.46,Monthly,Fiber,Debit Card,2,5,No
CUST00141,Female,51,17,1533.8,26074.6,Yearly,Fiber,Debit Card,7,7,No
CUST00142,Male,65,62,1229.87,76251.94,Monthly,None,UPI,3,8,No
CUST00143,Female,22,43,2719.48,116937.64,Monthly,None,Net Banking,10,2,Yes
CUST00144,Male,26,20,875.36,17507.2,Two Year,None,Credit Card,6,9,No
CUST00145,Female,35,34,1328.46,45167.64,Yearly,DSL,UPI,5,1,No
CUST00146,Male,46,14,1982.37,27753.18,Yearly,Fiber,UPI,3,1,No
CUST00147,Female,59,44,1739.95,76557.8,Monthly,DSL,Debit Card,6,10,No
CUST00148,Female,48,40,1515.4,60616.0,Yearly,DSL,Debit Card,3,7,No
CUST00149,Male,36,63,963.35,60691.05,Monthly,None,Credit Card,1,6,No
CUST00150,Male,70,57,2594.42,147881.94,Two Year,DSL,UPI,3,9,No
CUST00151,Female,25,22,786.39,17300.58,Monthly,Fiber,Net Banking,4,5,No
CUST00152,Female,46,71,2608.64,185213.44,Yearly,Fiber,Net Banking,0,1,Yes
CUST00153,Male,38,41,333.87,13688.67,Monthly,Fiber,Credit Card,2,9,No
CUST00154,Male,55,44,2627.06,115590.64,Monthly,Fiber,Debit Card,0,10,No
CUST00155,Female,42,10,2991.31,29913.1,Monthly,Fiber,Debit Card,5,7,Yes
CUST00156,Female,24,41,2496.75,102366.75,Two Year,None,Debit Card,2,7,No
CUST00157,Female,26,2,623.0,1246.0,Monthly,Fiber,Net Banking,2,8,No
CUST00158,Male,61,29,2784.02,80736.58,Two Year,DSL,Net Banking,0,6,No
CUST00159,Male,18,57,529.13,30160.41,Yearly,DSL,Credit Card,7,10,No
CUST00160,Female,49,58,1665.24,96583.92,Monthly,None,Credit Card,1,2,No
CUST00161,Female,40,33,2998.73,98958.09,Two Year,DSL,Credit Card,6,2,Yes
CUST00162,Male,31,49,1025.34,50241.66,Two Year,DSL,Debit Card,1,4,No
CUST00163,Female,39,44,1335.83,58776.52,Two Year,None,Debit Card,0,9,No
CUST00164,Female,44,70,652.59,45681.3,Two Year,DSL,Debit Card,6,2,Yes
CUST00165,Male,22,10,2936.35,29363.5,Monthly,None,UPI,1,9,Yes
CUST00166,Male,37,10,1645.39,16453.9,Monthly,None,UPI,2,3,Yes
CUST00167,Female,37,51,536.15,27343.65,Two Year,Fiber,Debit Card,4,8,No
CUST00168,Female,47,39,1341.95,52336.05,Two Year,DSL,Debit Card,7,5,No
CUST00169,Male,44,67,1919.11,128580.37,Two Year,Fiber,Net Banking,2,9,No
CUST00170,Male,34,46,2100.63,96628.98,Yearly,DSL,Debit Card,6,1,Yes
CUST00171,Male,21,68,1337.92,90978.56,Monthly,Fiber,UPI,2,3,No
CUST00172,Female,51,13,987.32,12835.16,Monthly,DSL,Credit Card,0,7,No
CUST00173,Female,21,40,2845.56,113822.4,Yearly,Fiber,UPI,5,2,Yes
CUST00174,Male,63,54,1350.6,72932.4,Yearly,None,Credit Card,10,6,No
CUST00175,Female,20,12,2214.16,26569.92,Two Year,Fiber,Credit Card,10,10,Yes
CUST00176,Male,62,56,2779.59,155657.04,Two Year,None,Net Banking,6,9,Yes
CUST00177,Male,38,30,1269.18,38075.4,Monthly,Fiber,Credit Card,9,2,Yes
CUST00178,Female,33,9,883.85,7954.65,Monthly,DSL,UPI,1,6,No
CUST00179,Female,22,34,2685.9,91320.6,Two Year,None,Debit Card,1,4,Yes
CUST00180,Female,68,34,2595.76,88255.84,Yearly,DSL,Debit Card,9,1,Yes
CUST00181,Female,31,42,1001.53,42064.26,Monthly,None,Debit Card,8,5,No
CUST00182,Female,65,72,2110.93,151986.96,Two Year,None,UPI,6,4,Yes
CUST00183,Female,25,2,2175.56,4351.12,Two Year,None,Debit Card,3,5,Yes
CUST00184,Male,36,68,560.49,38113.32,Two Year,DSL,UPI,8,5,No
CUST00185,Female,35,28,660.45,18492.6,Monthly,None,Credit Card,10,3,Yes
CUST00186,Female,67,68,1608.47,109375.96,Monthly,None,Credit Card,2,3,No
CUST00187,Female,47,49,946.03,46355.47,Two Year,DSL,Credit Card,3,9,No
CUST00188,Male,43,19,2227.29,42318.51,Yearly,DSL,Debit Card,1,5,No
CUST00189,Female,26,18,1210.11,21781.98,Two Year,DSL,Credit Card,6,7,No
CUST00190,Male,62,48,2304.46,110614.08,Two Year,DSL,Net Banking,6,6,Yes
CUST00191,Male,52,46,1704.1,78388.6,Yearly,None,Credit Card,6,5,No
CUST00192,Male,29,67,699.57,46871.19,Yearly,Fiber,UPI,3,9,No
CUST00193,Female,61,52,2387.24,124136.48,Two Year,None,Debit Card,5,1,Yes
CUST00194,Male,21,43,1402.72,60316.96,Yearly,None,Net Banking,8,1,Yes
CUST00195,Female,39,40,494.93,19797.2,Two Year,DSL,Debit Card,5,9,No
CUST00196,Female,37,38,1511.42,57433.96,Two Year,None,UPI,10,6,No
CUST00197,Male,18,16,2264.32,36229.12,Yearly,None,Debit Card,2,4,Yes
CUST00198,Male,18,10,556.98,5569.8,Monthly,Fiber,Debit Card,9,7,Yes
CUST00199,Female,39,64,2770.12,177287.68,Two Year,Fiber,Debit Card,1,9,No
CUST00200,Female,52,33,1983.56,65457.48,Monthly,Fiber,Credit Card,6,3,Yes
CUST00201,Male,38,21,1764.83,37061.43,Monthly,Fiber,Credit Card,6,3,Yes
CUST00202,Female,57,27,2270.15,61294.05,Yearly,Fiber,UPI,1,6,No
CUST00203,Male,18,43,2328.68,100133.24,Monthly,DSL,UPI,8,5,Yes
CUST00204,Female,40,5,2384.07,11920.35,Monthly,Fiber,Net Banking,3,7,Yes
CUST00205,Male,45,51,2427.04,123779.04,Two Year,None,Credit Card,10,5,Yes
CUST00206,Female,65,1,2049.88,2049.88,Two Year,Fiber,Credit Card,10,4,Yes
CUST00207,Female,67,19,1633.64,31039.16,Two Year,None,UPI,6,4,Yes
CUST00208,Female,30,47,2088.0,98136.0,Monthly,None,UPI,8,3,Yes
CUST00209,Female,61,59,1307.14,77121.26,Monthly,DSL,Credit Card,6,5,No
CUST00210,Male,66,3,1195.65,3586.95,Monthly,Fiber,Net Banking,2,3,Yes
CUST00211,Male,59,39,2014.72,78574.08,Yearly,None,Credit Card,7,6,Yes
CUST00212,Male,54,16,924.42,14790.72,Two Year,Fiber,Credit Card,5,3,No
CUST00213,Female,49,21,2832.19,59475.99,Two Year,DSL,Debit Card,2,1,Yes
CUST00214,Female,49,28,300.16,8404.48,Yearly,None,Credit Card,3,10,No
CUST00215,Male,47,27,1717.39,46369.53,Two Year,DSL,UPI,2,5,No
CUST00216,Female,48,35,1455.14,50929.9,Two Year,None,Net Banking,8,7,No
CUST00217,Male,54,59,1096.61,64699.99,Yearly,Fiber,UPI,10,7,No
CUST00218,Male,41,18,1850.01,33300.18,Two Year,None,Debit Card,7,7,No
CUST00219,Female,30,52,630.24,32772.48,Yearly,Fiber,UPI,7,4,Yes
CUST00220,Female,62,44,2954.43,129994.92,Yearly,DSL,Debit Card,9,5,Yes
CUST00221,Male,24,36,358.53,12907.08,Monthly,None,Net Banking,10,10,No
CUST00222,Female,45,22,2036.7,44807.4,Yearly,DSL,Credit Card,3,7,No
CUST00223,Male,59,25,1405.58,35139.5,Monthly,Fiber,Debit Card,6,3,Yes
CUST00224,Female,53,68,825.05,56103.4,Monthly,DSL,Net Banking,7,3,Yes
CUST00225,Male,37,38,426.79,16218.02,Monthly,Fiber,Net Banking,3,6,No
CUST00226,Male,36,31,526.91,16334.21,Monthly,DSL,Net Banking,4,6,No
CUST00227,Female,23,45,667.1,30019.5,Two Year,Fiber,UPI,4,4,No
CUST00228,Male,70,25,1465.52,36638.0,Two Year,DSL,UPI,7,5,No
CUST00229,Male,54,70,2886.3,202041.0,Yearly,None,Net Banking,1,8,No
CUST00230,Female,43,65,782.9,50888.5,Two Year,DSL,Debit Card,1,10,No
CUST00231,Female,46,19,1909.31,36276.89,Two Year,Fiber,Credit Card,2,9,No
CUST00232,Male,29,37,2040.88,75512.56,Two Year,DSL,Debit Card,0,3,Yes
CUST00233,Female,24,36,1623.28,58438.08,Two Year,Fiber,Debit Card,10,8,No
CUST00234,Female,49,40,1005.53,40221.2,Yearly,DSL,UPI,6,10,No
CUST00235,Male,56,63,1734.94,109301.22,Two Year,Fiber,UPI,4,6,No
CUST00236,Female,22,31,1341.21,41577.51,Monthly,DSL,UPI,3,10,No
CUST00237,Female,62,9,2940.32,26462.88,Two Year,DSL,Net Banking,10,2,Yes
CUST00238,Male,59,30,1006.24,30187.2,Monthly,DSL,UPI,5,8,No
CUST00239,Female,47,65,908.95,59081.75,Yearly,Fiber,Debit Card,6,9,No
CUST00240,Male,48,21,2157.16,45300.36,Monthly,Fiber,Credit Card,2,3,Yes
CUST00241,Female,64,51,2258.01,115158.51,Yearly,Fiber,UPI,9,3,Yes
CUST00242,Female,57,31,619.09,19191.79,Two Year,Fiber,Net Banking,8,2,Yes
CUST00243,Male,32,40,2316.79,92671.6,Monthly,Fiber,Net Banking,7,8,Yes
CUST00244,Male,59,58,2241.79,130023.82,Yearly,DSL,Net Banking,6,7,Yes
CUST00245,Female,40,22,2219.47,48828.34,Two Year,Fiber,Net Banking,7,4,Yes
CUST00246,Male,70,56,989.54,55414.24,Two Year,DSL,Credit Card,8,10,No
CUST00247,Female,19,26,2607.21,67787.46,Two Year,None,Credit Card,1,6,No
CUST00248,Male,24,21,1521.99,31961.79,Two Year,None,Net Banking,7,8,No
CUST00249,Male,26,6,1778.82,10672.92,Yearly,None,Net Banking,10,2,Yes
CUST00250,Female,24,29,527.99,15311.71,Monthly,DSL,Credit Card,7,9,No
CUST00251,Female,21,58,1555.88,90241.04,Yearly,None,UPI,0,6,No
CUST00252,Male,39,22,2419.65,53232.3,Monthly,Fiber,UPI,4,3,Yes
CUST00253,Female,32,57,2864.53,163278.21,Yearly,Fiber,Debit Card,4,6,No
CUST00254,Female,67,44,998.88,43950.72,Monthly,DSL,Debit Card,3,10,No
CUST00255,Female,27,12,2759.82,33117.84,Two Year,Fiber,Debit Card,3,6,No
CUST00256,Male,34,59,2754.91,162539.69,Two Year,Fiber,UPI,2,5,No
CUST00257,Male,45,37,1302.9,48207.3,Monthly,None,Debit Card,2,6,No
CUST00258,Male,56,68,514.68,34998.24,Two Year,None,Debit Card,7,1,Yes
CUST00259,Female,70,11,2766.35,30429.85,Yearly,DSL,UPI,2,9,Yes
CUST00260,Male,33,25,1630.53,40763.25,Monthly,Fiber,Credit Card,1,3,No
CUST00261,Male,46,9,1043.59,9392.31,Yearly,Fiber,Credit Card,8,7,Yes
CUST00262,Female,18,33,2475.3,81684.9,Yearly,Fiber,Net Banking,6,9,Yes
CUST00263,Male,35,50,2932.32,146616.0,Two Year,DSL,Debit Card,10,7,Yes
CUST00264,Male,28,5,1624.8,8124.0,Yearly,DSL,UPI,2,3,Yes
CUST00265,Male,30,23,1518.57,34927.11,Monthly,None,UPI,6,5,No
CUST00266,Female,41,30,407.94,12238.2,Yearly,None,Debit Card,5,5,No
CUST00267,Male,55,18,2018.66,36335.88,Yearly,None,Credit Card,10,10,Yes
CUST00268,Female,47,7,2761.59,19331.13,Yearly,DSL,Credit Card,5,4,Yes
CUST00269,Female,28,62,2826.68,175254.16,Two Year,Fiber,Credit Card,3,7,No
CUST00270,Male,19,48,1842.19,88425.12,Monthly,Fiber,UPI,9,5,No
CUST00271,Male,56,24,1333.89,32013.36,Monthly,DSL,UPI,10,10,No
CUST00272,Male,45,28,2492.63,69793.64,Yearly,Fiber,Credit Card,4,6,No
CUST00273,Female,54,31,2615.34,81075.54,Monthly,Fiber,UPI,3,8,No
CUST00274,Male,55,38,2821.46,107215.48,Yearly,None,Credit Card,5,8,No
CUST00275,Female,53,30,2413.34,72400.2,Two Year,DSL,Credit Card,0,5,No
CUST00276,Female,60,48,1856.27,89100.96,Two Year,Fiber,Net Banking,1,4,No
CUST00277,Female,69,18,1744.49,31400.82,Yearly,Fiber,UPI,3,1,No
CUST00278,Female,51,39,2210.21,86198.19,Two Year,None,Credit Card,7,6,Yes
CUST00279,Female,35,71,2408.68,171016.28,Two Year,Fiber,UPI,0,2,Yes
CUST00280,Female,49,33,728.97,24056.01,Monthly,None,Credit Card,5,3,No
CUST00281,Female,56,23,2050.91,47170.93,Monthly,None,Credit Card,6,6,Yes
CUST00282,Male,62,12,2006.49,24077.88,Monthly,None,Net Banking,0,3,Yes
CUST00283,Female,19,12,1727.93,20735.16,Two Year,Fiber,Net Banking,3,5,No
CUST00284,Male,36,43,1625.41,69892.63,Two Year,Fiber,Credit Card,4,2,No
CUST00285,Male,29,24,2890.38,69369.12,Monthly,Fiber,Net Banking,4,1,Yes
CUST00286,Female,40,55,372.58,20491.9,Monthly,None,UPI,2,1,No
CUST00287,Female,30,4,372.73,1490.92,Monthly,Fiber,Credit Card,2,7,No
CUST00288,Male,34,23,2593.75,59656.25,Yearly,DSL,Debit Card,10,6,Yes
CUST00289,Male,49,47,2009.18,94431.46,Yearly,DSL,UPI,2,8,No
CUST00290,Male,48,45,2007.5,90337.5,Two Year,Fiber,Debit Card,0,9,No
CUST00291,Male,62,69,1109.9,76583.1,Monthly,Fiber,Credit Card,4,5,No
CUST00292,Male,60,56,876.36,49076.16,Monthly,None,Net Banking,3,10,No
CUST00293,Male,69,54,1059.48,57211.92,Two Year,None,UPI,10,5,No
CUST00294,Male,57,27,1321.93,35692.11,Yearly,None,Net Banking,1,2,No
CUST00295,Male,50,12,1114.63,13375.56,Monthly,None,Credit Card,2,1,No
CUST00296,Male,37,56,1385.85,77607.6,Yearly,None,Debit Card,3,3,No
CUST00297,Male,57,28,2298.5,64358.0,Monthly,DSL,Net Banking,10,8,Yes
CUST00298,Female,46,14,856.37,11989.18,Monthly,Fiber,Credit Card,7,5,No
CUST00299,Female,68,25,942.82,23570.5,Monthly,Fiber,Net Banking,9,8,No
CUST00300,Male,55,55,2695.11,148231.05,Monthly,DSL,Net Banking,1,10,No
CUST00301,Female,27,36,1430.99,51515.64,Two Year,Fiber,Credit Card,10,4,Yes
CUST00302,Female,49,60,817.42,49045.2,Two Year,Fiber,UPI,1,8,No
CUST00303,Female,24,54,2735.35,147708.9,Yearly,None,UPI,7,10,Yes
CUST00304,Male,69,32,1670.46,53454.72,Two Year,DSL,Net Banking,4,3,No
CUST00305,Female,66,70,1650.0,115500.0,Monthly,None,Credit Card,8,6,No
CUST00306,Male,52,47,1184.29,55661.63,Monthly,None,UPI,3,7,No
CUST00307,Male,63,12,1000.63,12007.56,Yearly,None,Net Banking,6,9,No
CUST00308,Male,38,10,1024.59,10245.9,Monthly,None,Net Banking,10,5,Yes
CUST00309,Female,55,70,2115.64,148094.8,Two Year,None,Credit Card,6,4,Yes
CUST00310,Male,62,46,451.52,20769.92,Yearly,Fiber,Credit Card,3,5,No
CUST00311,Female,33,65,1203.83,78248.95,Monthly,None,Net Banking,7,10,No
CUST00312,Male,56,62,2583.04,160148.48,Two Year,Fiber,Debit Card,1,2,Yes
CUST00313,Male,44,6,1694.02,10164.12,Two Year,None,Net Banking,4,5,No
CUST00314,Female,54,26,1411.79,36706.54,Monthly,DSL,UPI,10,3,Yes
CUST00315,Male,54,14,1664.73,23306.22,Yearly,DSL,Net Banking,4,10,No
CUST00316,Male,30,8,335.17,2681.36,Two Year,Fiber,UPI,9,3,Yes
